Venue,Date,Submitted,Accepted,Rate,Source
EuroVis,1999,64,30,46.88%,eagereyes.org/acceptance-rates
EuroVis Short,2015,58,24,41%,EuroVis opening session
EuroVis Short,2014,43,22,,Bilial (url?)
EuroVis Short,2013,40,18,,Bilial (url?)
EuroVis Short,2012,50,21,,Bilial (url?)
EuroVA,2015,29,?,,Bilial (url?)
EuroVA,2014,17,11,,Bilial (url?)
EuroVA,2013,24,12,,Bilial (url?)
EuroVA,2012,31,17,,Bilial (url?)
EuroVA,2011,19,14,,Bilial (url?)
VAST,2010,94,26,28%,eagereyes.org/acceptance-rates
VAST,2009,69,26,38%,eagereyes.org/acceptance-rates
VAST,2008,58,21,36%,eagereyes.org/acceptance-rates
VAST,2007,57,24,42%,eagereyes.org/acceptance-rates
VAST,2006,60,26,43%,eagereyes.org/acceptance-rates
AVI,2010,133,27,20%,eagereyes.org/acceptance-rates
AVI,2008,117,32,27%,eagereyes.org/acceptance-rates
AVI,2006,?,32,~25%,eagereyes.org/acceptance-rates
UIST,2011,262,67,25.57%,(SH) url?
UIST,2010,?,?,?,eagereyes.org/acceptance-rates
UIST,2009,183,33,18%,eagereyes.org/acceptance-rates
UIST,2008,115,25,22%,eagereyes.org/acceptance-rates
UIST,2007,129,24,19%,eagereyes.org/acceptance-rates
UIST,2006,?,?,?,eagereyes.org/acceptance-rates
UIST,2005,159,31,19%,eagereyes.org/acceptance-rates
UIST,2004,170,36,21%,eagereyes.org/acceptance-rates
UIST,2003,116,25,22%,eagereyes.org/acceptance-rates
UIST,2002,?,?,?,eagereyes.org/acceptance-rates
UIST,2001,?,?,?,eagereyes.org/acceptance-rates
UIST,2000,?,?,?,eagereyes.org/acceptance-rates
CHI,2012,1577,?,23%,Notification email (SH)
CHI,2011,1540,409,26.56%,(SH) url?
CHI,2010,1346,302,22%,eagereyes.org/acceptance-rates
CHI,2009,1130,277,25%,eagereyes.org/acceptance-rates
CHI,2008,714,157,22%,eagereyes.org/acceptance-rates
CHI,2007,571,142,25%,eagereyes.org/acceptance-rates
CHI,2006,508,118,23%,eagereyes.org/acceptance-rates
CHI,2005,372,93,25%,eagereyes.org/acceptance-rates
CHI,2004,578,93,16%,eagereyes.org/acceptance-rates
CHI,2003,468,75,16%,eagereyes.org/acceptance-rates
CHI,2002,414,61,15%,eagereyes.org/acceptance-rates
CHI,2001,352,69,20%,eagereyes.org/acceptance-rates
CHI,2000,336,72,21%,eagereyes.org/acceptance-rates
CHI,1999,312,78,25%,eagereyes.org/acceptance-rates
CHI,1998,351,81,23%,eagereyes.org/acceptance-rates
CHI,1997,234,55,24%,eagereyes.org/acceptance-rates
CHI,1996,256,55,21%,eagereyes.org/acceptance-rates
CHI,1995,228,66,29%,eagereyes.org/acceptance-rates
CHI,1994,263,70,27%,eagereyes.org/acceptance-rates
CHI,1993,330,62,19%,eagereyes.org/acceptance-rates
CHI,1992,216,67,31%,eagereyes.org/acceptance-rates
CHI,1991,240,56,23%,eagereyes.org/acceptance-rates
CHI,1990,260,47,18%,eagereyes.org/acceptance-rates
CHI,1989,199,54,27%,eagereyes.org/acceptance-rates
CHI,1988,187,39,21%,eagereyes.org/acceptance-rates
CHI,1987,166,46,28%,eagereyes.org/acceptance-rates
CHI,1986,122,47,39%,eagereyes.org/acceptance-rates
CHI,1985,170,31,18%,eagereyes.org/acceptance-rates
CHI,1984,?,?,?,eagereyes.org/acceptance-rates
CHI,1983,176,59,34%,eagereyes.org/acceptance-rates
CHI,1982,165,75,45%,eagereyes.org/acceptance-rates
